Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,Debt_To_Income_Ratio
611314.0,1,2,2074116.0,15.0,1,3,42000.83,21.8,9.0,0.0,621908.0,1058970.0,0.0,0.0,0.24299989007365064
266662.0,1,1,1919190.0,15.0,1,3,36624.4,19.4,11.0,0.0,679573.0,904442.0,0.0,0.0,0.22899910899910902
153494.0,1,1,871112.0,2.0,3,3,8391.73,12.5,10.0,0.0,38532.0,388036.0,0.0,0.0,0.115600244285465
176242.0,1,1,780083.0,15.0,3,3,16771.87,16.5,16.0,1.0,156940.0,531322.0,1.0,0.0,0.25800131524465986
321992.0,1,2,1761148.0,15.0,1,3,39478.77,26.0,14.0,0.0,359765.0,468072.0,0.0,0.0,0.2689979717774996
202928.0,1,2,760380.0,7.993557422969188,3,3,6526.69,13.8,6.0,0.0,258647.0,476872.0,0.0,0.0,0.1030014992503748
621786.0,0,1,1783606.0,15.0,1,3,36563.98,15.3,42.0,0.0,281599.0,1449162.0,0.0,0.0,0.24600038349276693
266794.0,0,1,1369106.0397805213,0.5,2,3,12336.89,5.8,9.0,0.0,233206.0,342232.0,0.0,0.0,0.108130908562592
202466.0,1,1,1068617.0,5.0,3,3,18745.21,20.5,2.0,0.0,0.0,0.0,0.0,0.0,0.21049872873068648
266288.0,0,1,2031518.0,2.0,3,3,12443.1,24.4,8.0,2.0,31445.0,251130.0,2.0,0.0,0.0735003086362021
121110.0,1,1,1369106.0397805213,0.5,3,3,10749.44,19.2,4.0,0.0,102087.0,198330.0,0.0,0.0,0.09421715794978062
258104.0,1,1,1284514.0,7.0,3,3,6368.99,14.6,12.0,0.0,128402.0,266904.0,0.0,0.0,0.059499452711297814
161722.0,1,1,504374.0,7.0,3,11,6094.63,9.5,13.0,0.0,167903.0,388828.0,0.0,0.0,0.14500263693211785
753016.0,0,1,1369106.0397805213,5.0,1,3,9627.49,21.7,9.0,0.0,384522.0,657646.0,0.0,0.0,0.08438344192720118
444664.0,1,1,1369106.0397805213,5.0,3,3,22817.86,17.9,25.0,0.0,318953.0,971872.0,0.0,0.0,0.19999496901196537
172282.0,1,1,669560.0,3.0,1,3,17966.78,18.2,16.0,0.0,431490.0,999262.0,0.0,0.0,0.32200454029511916
275440.0,1,1,1236976.0,6.0,3,3,21647.08,35.8,13.0,0.0,151088.0,264242.0,0.0,0.0,0.21000000000000002
218834.0,1,2,1077262.0,3.0,2,5,19390.64,24.5,37.0,0.0,212800.0,502876.0,0.0,0.0,0.21599915340929132
346610.0,1,2,2245116.0,2.0,1,3,24134.94,17.6,14.0,0.0,729695.0,1307922.0,0.0,0.0,0.12899969533868183
219648.0,0,1,682898.0,15.0,1,3,18893.79,15.5,8.0,0.0,347396.0,553300.0,0.0,0.0,0.3320048967781426
334620.0,1,2,963300.0,15.0,1,3,16536.65,16.4,17.0,0.0,330581.0,843128.0,0.0,0.0,0.20600000000000002
219868.0,1,1,683582.0,6.0,2,3,9057.49,9.6,8.0,0.0,121467.0,215380.0,0.0,0.0,0.1590005003057424
222816.0,0,1,990185.0,4.0,1,3,6031.93,17.5,8.0,1.0,125020.0,343860.0,1.0,0.0,0.07310064280917203
108416.0,1,1,1369106.0397805213,15.0,3,3,41882.46,20.4,11.0,0.0,827051.0,1003816.0,0.0,0.0,0.36709320198497486
108152.0,1,1,747156.0,4.0,3,0,20235.38,19.9,14.0,0.0,174344.0,348062.0,0.0,0.0,0.32499847421422035
174724.0,1,1,1369106.0397805213,5.0,3,3,11341.29,8.2,4.0,0.0,85633.0,126632.0,0.0,0.0,0.09940463050021839
404008.0,0,1,1369106.0397805213,6.0,1,3,42159.86,15.9,16.0,0.0,684950.0,1054636.0,0.0,0.0,0.369524569536705
360228.0,1,2,2138906.0,15.0,1,3,27984.15,15.5,8.0,0.0,164008.0,225280.0,0.0,0.0,0.15700072840975715
218724.0,1,1,1369106.0397805213,0.5,0,8,4967.36,11.0,7.0,0.0,16511.0,108064.0,0.0,0.0,0.04353813237837713
441012.0,1,1,979716.0,15.0,3,3,12899.67,27.3,11.0,0.0,380228.0,608938.0,0.0,0.0,0.1580009308820107
